"id","code","name","close_method"
"account_type_receivable","R","Receivable","unreconciled"
"account_type_payable","P","Payable","unreconciled"
"account_type_view","V","View","unreconciled"
"account_type_income","I","Income","unreconciled"
"account_type_expense","E","Expense","unreconciled"
"account_type_tax","T","Tax","unreconciled"
"account_type_cash","C","Cash","unreconciled"
"account_type_asset","A","Asset","unreconciled"
"account_type_equity","Q","Equity","unreconciled"
"account_type_liability","L","Liability","unreconciled"
