"id","name","code","country_id:id"
"state_1","England and Wales","EAW","base.uk"
"state_2","England","ENG","base.uk"
"state_3","Great Britain","GBN","base.uk"
"state_4","Northern Ireland","NIR","base.uk"
"state_5","Scotland","SCT","base.uk"
"state_6","United Kingdom","UKM","base.uk"
"state_7","Wales","WLS","base.uk"
"state_8","Aberdeenshire","ABD","base.uk"
"state_9","Aberdeen City","ABE","base.uk"
"state_10","Argyll and Bute","AGB","base.uk"
"state_11","Isle of Anglesey","AGY","base.uk"
"state_12","Angus","ANS","base.uk"
"state_13","Antrim","ANT","base.uk"
"state_14","Ards","ARD","base.uk"
"state_15","Armagh","ARM","base.uk"
"state_16","Bath and North East Somerset","BAS","base.uk"
"state_17","Blackburn with Darwen","BBD","base.uk"
"state_18","Bedfordshire","BDF","base.uk"
"state_19","Barking and Dagenham","BDG","base.uk"
"state_20","Brent","BEN","base.uk"
"state_21","Bexley","BEX","base.uk"
"state_22","Belfast","BFS","base.uk"
"state_23","Bridgend","BGE","base.uk"
"state_24","Blaenau Gwent","BGW","base.uk"
"state_25","Birmingham","BIR","base.uk"
"state_26","Buckinghamshire","BKM","base.uk"
"state_27","Ballymena","BLA","base.uk"
"state_28","Ballymoney","BLY","base.uk"
"state_29","Bournemouth","BMH","base.uk"
"state_30","Banbridge","BNB","base.uk"
"state_31","Barnet","BNE","base.uk"
"state_32","Brighton and Hove","BNH","base.uk"
"state_33","Barnsley","BNS","base.uk"
"state_34","Bolton","BOL","base.uk"
"state_35","Blackpool","BPL","base.uk"
"state_36","Bracknell Forest","BRC","base.uk"
"state_37","Bradford","BRD","base.uk"
"state_38","Bromley","BRY","base.uk"
"state_39","Bristol, City of","BST","base.uk"
"state_40","Bury","BUR","base.uk"
"state_41","Cambridgeshire","CAM","base.uk"
"state_42","Caerphilly","CAY","base.uk"
"state_43","Ceredigion","CGN","base.uk"
"state_44","Craigavon","CGV","base.uk"
"state_45","Cheshire","CHS","base.uk"
"state_46","Carrickfergus","CKF","base.uk"
"state_47","Cookstown","CKT","base.uk"
"state_48","Calderdale","CLD","base.uk"
"state_49","Clackmannanshire","CLK","base.uk"
"state_50","Coleraine","CLR","base.uk"
"state_51","Cumbria","CMA","base.uk"
"state_52","Camden","CMD","base.uk"
"state_53","Carmarthenshire","CMN","base.uk"
"state_54","Cornwall","CON","base.uk"
"state_55","Coventry","COV","base.uk"
"state_56","Cardiff","CRF","base.uk"
"state_57","Croydon","CRY","base.uk"
"state_58","Castlereagh","CSR","base.uk"
"state_59","Conwy","CWY","base.uk"
"state_60","Darlington","DAL","base.uk"
"state_61","Derbyshire","DBY","base.uk"
"state_62","Denbighshire","DEN","base.uk"
"state_63","Derby","DER","base.uk"
"state_64","Devon","DEV","base.uk"
"state_65","Dungannon","DGN","base.uk"
"state_66","Dumfries and Galloway","DGY","base.uk"
"state_67","Doncaster","DNC","base.uk"
"state_68","Dundee City","DND","base.uk"
"state_69","Dorset","DOR","base.uk"
"state_70","Down","DOW","base.uk"
"state_71","Derry","DRY","base.uk"
"state_72","Dudley","DUD","base.uk"
"state_73","Durham","DUR","base.uk"
"state_74","Ealing","EAL","base.uk"
"state_75","East Ayrshire","EAY","base.uk"
"state_76","Edinburgh, City of","EDH","base.uk"
"state_77","East Dunbartonshire","EDU","base.uk"
"state_78","East Lothian","ELN","base.uk"
"state_79","Eilean Siar","ELS","base.uk"
"state_80","Enfield","ENF","base.uk"
"state_81","East Renfrewshire","ERW","base.uk"
"state_82","East Riding of Yorkshire","ERY","base.uk"
"state_83","Essex","ESS","base.uk"
"state_84","East Sussex","ESX","base.uk"
"state_85","Falkirk","FAL","base.uk"
"state_86","Fermanagh","FER","base.uk"
"state_87","Fife","FIF","base.uk"
"state_88","Flintshire","FLN","base.uk"
"state_89","Gateshead","GAT","base.uk"
"state_90","Glasgow City","GLG","base.uk"
"state_91","Gloucestershire","GLS","base.uk"
"state_92","Greenwich","GRE","base.uk"
"state_93","Gwynedd","GWN","base.uk"
"state_94","Halton","HAL","base.uk"
"state_95","Hampshire","HAM","base.uk"
"state_96","Havering","HAV","base.uk"
"state_97","Hackney","HCK","base.uk"
"state_98","Highland","HED","base.uk"
"state_99","Herefordshire, County of","HEF","base.uk"
"state_100","Hillingdon","HIL","base.uk"
"state_101","Hammersmith and Fulham","HMF","base.uk"
"state_102","Hounslow","HNS","base.uk"
"state_103","Hartlepool","HPL","base.uk"
"state_104","Hertfordshire","HRT","base.uk"
"state_105","Harrow","HRW","base.uk"
"state_106","Haringey","HRY","base.uk"
"state_107","Isles of Scilly","IOS","base.uk"
"state_108","Isle of Wight","IOW","base.uk"
"state_109","Islington","ISL","base.uk"
"state_110","Inverclyde","IVC","base.uk"
"state_111","Kensington and Chelsea","KEC","base.uk"
"state_112","Kent","KEN","base.uk"
"state_113","Kingston upon Hull, City of","KHL","base.uk"
"state_114","Kirklees","KIR","base.uk"
"state_115","Kingston upon Thames","KTT","base.uk"
"state_116","Knowsley","KWL","base.uk"
"state_117","Lancashire","LAN","base.uk"
"state_118","Lambeth","LBH","base.uk"
"state_119","Leicester","LCE","base.uk"
"state_120","Leeds","LDS","base.uk"
"state_121","Leicestershire","LEC","base.uk"
"state_122","Lewisham","LEW","base.uk"
"state_123","Lincolnshire","LIN","base.uk"
"state_124","Liverpool","LIV","base.uk"
"state_125","Limavady","LMV","base.uk"
"state_126","London, City of","LND","base.uk"
"state_127","Larne","LRN","base.uk"
"state_128","Lisburn","LSB","base.uk"
"state_129","Luton","LUT","base.uk"
"state_130","Manchester","MAN","base.uk"
"state_131","Middlesbrough","MDB","base.uk"
"state_132","Medway","MDW","base.uk"
"state_133","Magherafelt","MFT","base.uk"
"state_134","Milton Keynes","MIK","base.uk"
"state_135","Midlothian","MLN","base.uk"
"state_136","Monmouthshire","MON","base.uk"
"state_137","Merton","MRT","base.uk"
"state_138","Moray","MRY","base.uk"
"state_139","Merthyr Tydfil","MTY","base.uk"
"state_140","Moyle","MYL","base.uk"
"state_141","North Ayrshire","NAY","base.uk"
"state_142","Northumbarland","NBL","base.uk"
"state_143","North Down","NDN","base.uk"
"state_144","North East Lincolnshire","NEL","base.uk"
"state_145","Newcastle upon Tyne","NET","base.uk"
"state_146","Norfolk","NFK","base.uk"
"state_147","Nottingham","NGM","base.uk"
"state_148","North Lanarkshire","NLK","base.uk"
"state_149","North Lincolnshire","NLN","base.uk"
"state_150","North Somerset","NSM","base.uk"
"state_151","Newtownabbey","NTA","base.uk"
"state_152","Northamptonshire","NTH","base.uk"
"state_153","Neath Port Talbot","NTL","base.uk"
"state_154","Nottinghamshire","NTT","base.uk"
"state_155","North Tyneside","NTY","base.uk"
"state_156","Newham","NWM","base.uk"
"state_157","Newport","NWP","base.uk"
"state_158","North Yorkshire","NYK","base.uk"
"state_159","Newry and Mourne","NYM","base.uk"
"state_160","Oldham","OLD","base.uk"
"state_161","Omagh","OMH","base.uk"
"state_162","Orkney Islands","ORR","base.uk"
"state_163","Oxfordshire","OXF","base.uk"
"state_164","Pembrokeshire","PEM","base.uk"
"state_165","Perth and Kinross","PKN","base.uk"
"state_166","Plymouth","PLY","base.uk"
"state_167","Poole","POL","base.uk"
"state_168","Portsmouth","POR","base.uk"
"state_169","Powys","POW","base.uk"
"state_170","Peterborough","PTE","base.uk"
"state_171","Redcar and Cleveland","RCC","base.uk"
"state_172","Rochdale","RCH","base.uk"
"state_173","Rhondda, Cynon, Taff","RCT","base.uk"
"state_174","Redbridge","RDB","base.uk"
"state_175","Reading","RDG","base.uk"
"state_176","Renfrewshire","RFW","base.uk"
"state_177","Richmond upon Thames","RIC","base.uk"
"state_178","Rotherham","ROT","base.uk"
"state_179","Rutland","RUT","base.uk"
"state_180","Sandwell","SAW","base.uk"
"state_181","South Ayrshire","SAY","base.uk"
"state_182","Scottish Borders, The","SCB","base.uk"
"state_183","Suffolk","SFK","base.uk"
"state_184","Sefton","SFT","base.uk"
"state_185","South Gloucestershire","SGC","base.uk"
"state_186","Sheffield","SHF","base.uk"
"state_187","St. Helens","SHN","base.uk"
"state_188","Shropshire","SHR","base.uk"
"state_189","Stockport","SKP","base.uk"
"state_190","Salford","SLF","base.uk"
"state_191","Slough","SLG","base.uk"
"state_192","South Lanarkshire","SLK","base.uk"
"state_193","Sunderland","SND","base.uk"
"state_194","Solihull","SOL","base.uk"
"state_195","Somerset","SOM","base.uk"
"state_196","Southend-on-Sea","SOS","base.uk"
"state_197","Surrey","SRY","base.uk"
"state_198","Strabane","STB","base.uk"
"state_199","Stoke-on-Trent","STE","base.uk"
"state_200","Stirling","STG","base.uk"
"state_201","Southampton","STH","base.uk"
"state_202","Sutton","STN","base.uk"
"state_203","Staffordshire","STS","base.uk"
"state_204","Stockton-on-Tees","STT","base.uk"
"state_205","South Tyneside","STY","base.uk"
"state_206","Swansea","SWA","base.uk"
"state_207","Swindon","SWD","base.uk"
"state_208","Southwark","SWK","base.uk"
"state_209","Tameside","TAM","base.uk"
"state_210","Telford and Wrekin","TFW","base.uk"
"state_211","Thurrock","THR","base.uk"
"state_212","Torbay","TOB","base.uk"
"state_213","Torfaen","TOF","base.uk"
"state_214","Trafford","TRF","base.uk"
"state_215","Tower Hamlets","TWH","base.uk"
"state_216","Vale of Glamorgan, The","VGL","base.uk"
"state_217","Warwickshire","WAR","base.uk"
"state_218","West Berkshire","WBX","base.uk"
"state_219","West Dunbartonshire","WDU","base.uk"
"state_220","Waltham Forest","WFT","base.uk"
"state_221","Wigan","WGN","base.uk"
"state_222","Wiltshire","WIL","base.uk"
"state_223","Wakefield","WKF","base.uk"
"state_224","Walsall","WLL","base.uk"
"state_225","West Lothian","WLN","base.uk"
"state_226","Wolverhampton","WLV","base.uk"
"state_227","Wandsworth","WND","base.uk"
"state_228","Windsor and Maidenhead","WNM","base.uk"
"state_229","Wokingham","WOK","base.uk"
"state_230","Worcestershire","WOR","base.uk"
"state_231","Wirral","WRL","base.uk"
"state_232","Warrington","WRT","base.uk"
"state_233","Wrexham","WRX","base.uk"
"state_234","Westminster","WSM","base.uk"
"state_235","West Sussex","WSX","base.uk"
"state_236","York","YOR","base.uk"
"state_237","Shetland Islands","ZET","base.uk"
"state_238","Middlesex","MID","base.uk"
"state_239","Tyne and Wear","TAW","base.uk"
"state_240","Sussex","SUS","base.uk"
"state_241","Berkshire","BRK","base.uk"
"state_242","West Midlands","WMD","base.uk"
"state_243","Glamorgan","GLM","base.uk"
"state_244","South Glamorgan","SGM","base.uk"
"state_245","West Yorkshire","WYS","base.uk"
"state_246","Yorkshire","YKS","base.uk"
"state_247","South Yorkshire","SYS","base.uk"
"state_248","Greater Manchester","GTM","base.uk"
"state_249","Merseyside","MRS","base.uk"
